date,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,LTCUSDT,TRXUSDT,DOTUSDT,SOLUSDT,AVAXUSDT,XMRUSDT,ATOMUSDT,TONUSDT,ETCUSDT,BCHUSDT,XLMUSDT,ALGOUSDT,VETUSDT,FILUSDT,NEARUSDT,EOSUSDT,HBARUSDT,THETAUSDT
2023-02-13,21773.97,0,0,0,0.08209,0,0,0,0,0,20.77,0,0,0,0,0,123.8,0.085,0,0,0,0,0,0,0
2023-02-12,21783.54,1514.83,312.6,0.3747,0.08215,0.3641,1.236,92.51,0.06388,6.181,21.49,17.78,159.5,13.539,0,21.06,122.9,0.0851,0.2474,0.02358,4.919,2.237,1.042,0.0868,1.067
2023-02-11,21862.55,1538.51,310.4,0.3833,0.08225,0.3684,1.2493,94.28,0.06372,6.278,20.81,18.01,161.4,13.749,0,21.49,124.6,0.0862,0.2566,0.02388,5.102,2.285,1.057,0.0881,1.076
2023-02-10,21625.19,1513.06,305.8,0.3817,0.08089,0.3581,1.2298,93.34,0.06329,6.186,20.11,17.79,154.7,13.705,0,20.97,124.3,0.0857,0.251,0.02357,4.848,2.25,1.052,0.0761,1.05
2023-02-09,21796.35,1545.35,306.2,0.3819,0.08144,0.3622,1.2297,92.05,0.06265,6.235,20.48,17.9,152.6,13.53,0,20.9,126.6,0.0857,0.2548,0.02329,4.789,2.27,1.044,0.0716,1.046
2023-02-08,22963.0,1650.43,328.2,0.3975,0.09018,0.3942,1.3062,99.22,0.06695,6.757,23.22,20.11,165.6,15.151,0,22.64,131.6,0.091,0.2899,0.0258,5.442,2.639,1.084,0.0752,1.142
2023-02-07,23240.46,1671.03,333.0,0.4036,0.09253,0.3989,1.2699,100.86,0.06577,6.941,23.82,20.83,168.2,14.957,0,23.2,135.9,0.092,0.2801,0.02595,5.537,2.493,1.112,0.0748,1.195
2023-02-06,22762.52,1614.29,324.3,0.392,0.08955,0.3823,1.191,95.93,0.06316,6.494,22.66,19.58,164.5,14.143,0,22.13,131.5,0.0889,0.2546,0.02391,5.125,2.308,1.059,0.0675,1.072
2023-02-05,22932.91,1629.02,327.8,0.3984,0.09203,0.3923,1.2028,96.63,0.06411,6.637,23.47,20.08,166.6,14.736,0,22.85,134.4,0.0909,0.257,0.0242,5.299,2.386,1.082,0.0699,1.096
2023-02-04,23326.84,1666.38,330.4,0.4106,0.09567,0.3994,1.2545,98.51,0.06384,6.873,24.34,21.04,172.3,14.665,0,23.81,138.0,0.0929,0.2671,0.02491,5.521,2.501,1.107,0.0733,1.118
2023-02-03,23431.9,1663.52,332.2,0.4117,0.09293,0.4038,1.246,99.86,0.06416,7.008,24.69,21.36,171.8,14.992,0,23.17,137.9,0.093,0.271,0.02483,5.675,2.507,1.096,0.0722,1.118
2023-02-02,23488.94,1643.12,323.5,0.4098,0.09099,0.3981,1.181,98.64,0.06383,6.543,24.32,21.21,173.1,14.407,0,22.42,136.7,0.0918,0.2551,0.0241,5.473,2.444,1.07,0.067,1.069
2023-02-01,23732.66,1641.68,317.0,0.4131,0.09403,0.397,1.1937,100.33,0.06312,6.467,25.0,20.95,177.7,14.925,0,22.35,136.2,0.0923,0.2509,0.02478,5.687,2.427,1.077,0.0696,1.085
2023-01-31,23125.13,1585.33,312.0,0.4057,0.09612,0.3902,1.1094,94.09,0.06218,6.26,23.92,19.8,177.5,13.362,0,21.69,133.3,0.0906,0.2414,0.02312,5.229,2.328,1.063,0.0645,1.025
2023-01-30,22826.15,1566.2,307.2,0.3934,0.08837,0.3725,1.0875,91.37,0.06227,6.19,23.96,19.74,175.9,13.073,0,21.35,131.2,0.0899,0.2393,0.02305,5.098,2.307,1.049,0.064,1.015
2023-01-29,23742.3,1644.72,317.2,0.4134,0.09009,0.3975,1.178,94.84,0.06378,6.611,26.07,20.99,186.3,13.803,0,22.75,136.6,0.0944,0.2616,0.02459,5.477,2.571,1.114,0.0694,1.108
